Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
21,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA, Ömrünü Tamamlamış Araç Geçici Depolama
21,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA, Atık Elektrikli ve Elektronik Eşya İşleme
21,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA, PCB Arındırma
21,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA, Atık Ara Depolama
22,ÖKSÜT MADENCİLİK SANTİC.A.Ş.- DEVELİ ŞUBESİ,KAYSERİ,Maden Atığı Bertaraf- Depolama Kategori 
22,ÖKSÜT MADENCİLİK SANTİC.A.Ş.- DEVELİ ŞUBESİ,KAYSERİ, Maden Atığı Bertaraf- Depolama Kategori
23,ETİ BAKIR ANONİM ŞİRKETİ - ADIYAMAN ŞUBESİ,ADIYAMAN,Maden Atığı Bertaraf- Depolama Kategori 
24,ALİAĞA BELEDİYESİ PETROL ANONİM ŞİRKETİ - MANİSA ŞUBESİ,MANİSA,Atık Ara Depolama
25,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ Depolama ŞUBESİ,KOCAELİ,Atık Ara Depola
26,ERDEMİR MADENCİLİK SANAYİ VE TİCARET A.Ş.,SİVAS,Maden Atığı Bertaraf- Depolama Kategori 
27,BURHAN GERİ DÖNÜŞÜM NAKLİYAT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ - KAHRAMANKAZAN ŞUBESİ,ANKARA,PCB Arındırma
27,BURHAN GERİ DÖNÜŞÜM NAKLİYAT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ - KAHRAMANKAZAN ŞUBESİ,ANKARA, Atık Ara Depolama
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA,Tehlikeli Atık Geri Kazanımı
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, Tehlikesiz Atık Geri Kazanımı
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, Ambalaj Atığı Geri Kazanımı
